fid;arquivo;sword_node_id;sword_dist_out_original;pixels;validos;nodata;origem_x;origem_y;distancia_max_m;status;mensagem
1;62265300070161_2527133.txt;62265300070161;2527133.924123631;378;378;0;400156.0078701235;9034473.350164697;2963.2583417582746;OK;
2;62265300060481_2522369.txt;62265300060481;2522369.749463315;305;305;0;399426.0078701235;9038453.350164697;2684.7718711279736;OK;
3;62265300060241_2517598.txt;62265300060241;2517598.9900142513;561;561;0;401506.0078701235;9042063.350164697;4413.456695154037;OK;
4;62265300050431_2512427.txt;62265300050431;2512427.324019786;460;460;0;404016.0078701235;9046613.350164697;3481.221050148927;OK;
5;62265300050361_2511023.txt;62265300050361;2511023.485175318;376;376;0;404576.0078701235;9043223.350164697;3271.238297648155;OK;
6;62265300050341_2510626.txt;62265300050341;2510626.3068067553;314;314;0;405226.0078701235;9043203.350164697;2811.1385593741197;OK;
7;62265300050281_2509438.txt;62265300050281;2509438.929542478;347;347;0;406216.0078701235;9043093.350164697;3198.280788173546;OK;
8;62265300050221_2508267.txt;62265300050221;2508267.193067979;372;372;0;407976.0078701235;9044143.350164697;2746.1245419681895;OK;
9;62265300050131_2506457.txt;62265300050131;2506457.328224635;382;382;0;409676.0078701235;9045213.350164697;2730.6592610576663;OK;
10;62265300050081_2505465.txt;62265300050081;2505465.617032084;396;396;0;410166.0078701235;9045903.350164697;2452.5293066546624;OK;
11;62265300050071_2505263.txt;62265300050071;2505263.6665061335;396;396;0;410306.0078701235;9046093.350164697;2322.4340679554284;OK;
12;62265300050051_2504894.txt;62265300050051;2504894.761426739;331;331;0;410556.0078701235;9045933.350164697;2602.786967848118;OK;
13;62265300050031_2504490.txt;62265300050031;2504490.8598373267;287;287;0;410936.0078701235;9046593.350164697;2185.6349191939626;OK;
14;62265300040441_2503723.txt;62265300040441;2503723.403033284;503;503;0;411526.0078701235;9047093.350164697;3691.950703896248;OK;
15;62265300040381_2502539.txt;62265300040381;2502539.278553714;535;535;0;412516.0078701235;9047713.350164697;3962.4361193588975;OK;
16;62265300040331_2501552.txt;62265300040331;2501552.442171961;499;499;0;413476.0078701235;9048003.350164697;3707.4114959092417;OK;
17;62265300040231_2499566.txt;62265300040231;2499566.02584617;488;488;0;415216.0078701235;9048793.350164697;3674.58841232593;OK;
18;62265300040181_2498579.txt;62265300040181;2498579.382498371;425;425;0;416116.0078701235;9049383.350164697;3180.7074684730123;OK;
19;62265300040131_2497584.txt;62265300040131;2497584.3661365686;485;485;0;417236.0078701235;9049223.350164697;3657.2804103595886;OK;
20;62265300030331_2492645.txt;62265300030331;2492645.630993918;346;346;0;421736.0078701235;9050873.350164697;2729.2673009436066;OK;
21;62265300030281_2491654.txt;62265300030281;2491654.582259662;425;425;0;422536.0078701235;9050743.350164697;3357.156534926544;OK;
